"measurementscale","fallwinterspring","grade","RIT","school_percentile"
"Mathematics","Spring",1,176,55
"Mathematics","Spring",2,189,55
"Mathematics","Spring",3,200,55
"Mathematics","Spring",4,210,55
"Mathematics","Spring",5,216,55
"Mathematics","Spring",6,221,55
"Mathematics","Spring",7,224,55
"Mathematics","Spring",8,228,55
"Mathematics","Spring",9,229,55
"Mathematics","Spring",10,231,55
"Mathematics","Spring",11,232,55
"Mathematics","Spring",12,229,55
"Mathematics","Spring",0,159,60
"Mathematics","Spring",1,177,60
"Mathematics","Spring",2,190,60
"Mathematics","Spring",3,201,60
"Mathematics","Spring",4,211,60
"Mathematics","Spring",5,218,60
"Mathematics","Spring",6,222,60
"Mathematics","Spring",7,226,60
"Mathematics","Spring",8,229,60
"Mathematics","Spring",9,231,60
"Mathematics","Spring",10,232,60
"Mathematics","Spring",11,233,60
"Mathematics","Spring",12,231,60
"Mathematics","Spring",0,160,65
"Mathematics","Spring",1,177,65
"Mathematics","Spring",2,190,65
"Mathematics","Spring",3,202,65
"Mathematics","Spring",4,212,65
"Mathematics","Spring",5,219,65
"Mathematics","Spring",6,223,65
"Mathematics","Spring",7,227,65
"Mathematics","Spring",8,231,65
"Mathematics","Spring",9,232,65
"Mathematics","Spring",10,234,65
"Mathematics","Spring",11,235,65
"Mathematics","Spring",12,232,65
"Mathematics","Spring",0,161,70
"Mathematics","Spring",1,178,70
"Mathematics","Spring",2,192,70
"Mathematics","Spring",3,203,70
"Mathematics","Spring",4,214,70
"Mathematics","Spring",5,220,70
"Mathematics","Spring",6,225,70
"Mathematics","Spring",7,228,70
"Mathematics","Spring",8,232,70
"Mathematics","Spring",9,234,70
"Mathematics","Spring",10,236,70
"Mathematics","Spring",11,237,70
"Mathematics","Spring",12,234,70
"Mathematics","Spring",0,162,75
"Mathematics","Spring",1,179,75
"Mathematics","Spring",2,193,75
"Mathematics","Spring",3,204,75
"Mathematics","Spring",4,215,75
"Mathematics","Spring",5,222,75
"Mathematics","Spring",6,226,75
"Mathematics","Spring",7,230,75
"Mathematics","Spring",8,234,75
"Mathematics","Spring",9,235,75
"Mathematics","Spring",10,238,75
"Mathematics","Spring",11,239,75
"Mathematics","Spring",12,236,75
"Mathematics","Spring",0,163,80
"Mathematics","Spring",1,180,80
"Mathematics","Spring",2,194,80
"Mathematics","Spring",3,206,80
"Mathematics","Spring",4,217,80
"Mathematics","Spring",5,224,80
"Mathematics","Spring",6,228,80
"Mathematics","Spring",7,231,80
"Mathematics","Spring",8,236,80
"Mathematics","Spring",9,237,80
"Mathematics","Spring",10,240,80
"Mathematics","Spring",11,241,80
"Mathematics","Spring",12,238,80
"Mathematics","Spring",0,164,85
"Mathematics","Spring",1,182,85
"Mathematics","Spring",2,195,85
"Mathematics","Spring",3,207,85
"Mathematics","Spring",4,219,85
"Mathematics","Spring",5,226,85
"Mathematics","Spring",6,230,85
"Mathematics","Spring",7,233,85
"Mathematics","Spring",8,238,85
"Mathematics","Spring",9,239,85
"Mathematics","Spring",10,242,85
"Mathematics","Spring",11,244,85
"Mathematics","Spring",12,241,85
"Mathematics","Spring",0,165,90
"Mathematics","Spring",1,183,90
"Mathematics","Spring",2,197,90
"Mathematics","Spring",3,210,90
"Mathematics","Spring",4,221,90
"Mathematics","Spring",5,228,90
"Mathematics","Spring",6,232,90
"Mathematics","Spring",7,236,90
"Mathematics","Spring",8,240,90
"Mathematics","Spring",9,242,90
"Mathematics","Spring",10,245,90
"Mathematics","Spring",11,247,90
"Mathematics","Spring",12,244,90
"Mathematics","Spring",0,167,95
"Mathematics","Spring",1,186,95
"Mathematics","Spring",2,200,95
"Mathematics","Spring",3,213,95
"Mathematics","Spring",4,224,95
"Mathematics","Spring",5,232,95
"Mathematics","Spring",6,236,95
"Mathematics","Spring",7,239,95
"Mathematics","Spring",8,244,95
"Mathematics","Spring",9,246,95
"Mathematics","Spring",10,250,95
"Mathematics","Spring",11,252,95
"Mathematics","Spring",12,249,95
"Reading","Fall",0,131,5
"Reading","Fall",1,145,5
"Reading","Fall",2,158,5
"Reading","Fall",3,171,5
"Reading","Fall",4,182,5
"Reading","Fall",5,190,5
"Reading","Fall",6,196,5
"Reading","Fall",7,199,5
"Reading","Fall",8,202,5
"Reading","Fall",9,201,5
"Reading","Fall",10,202,5
"Reading","Fall",11,200,5
"Reading","Fall",12,198,5
"Reading","Fall",0,132,10
"Reading","Fall",1,148,10
"Reading","Fall",2,161,10
"Reading","Fall",3,174,10
"Reading","Fall",4,185,10
"Reading","Fall",5,193,10
"Reading","Fall",6,199,10
"Reading","Fall",7,202,10
"Reading","Fall",8,205,10
"Reading","Fall",9,205,10
"Reading","Fall",10,205,10
"Reading","Fall",11,203,10
"Reading","Fall",12,202,10
"Reading","Fall",0,134,15
"Reading","Fall",1,149,15
"Reading","Fall",2,162,15
"Reading","Fall",3,176,15
"Reading","Fall",4,187,15
"Reading","Fall",5,195,15
"Reading","Fall",6,201,15
"Reading","Fall",7,204,15
"Reading","Fall",8,207,15
"Reading","Fall",9,207,15
"Reading","Fall",10,207,15
"Reading","Fall",11,206,15
"Reading","Fall",12,204,15
"Reading","Fall",0,134,20
"Reading","Fall",1,150,20
"Reading","Fall",2,164,20
"Reading","Fall",3,177,20
"Reading","Fall",4,188,20
"Reading","Fall",5,196,20
"Reading","Fall",6,202,20
"Reading","Fall",7,205,20
"Reading","Fall",8,208,20
"Reading","Fall",9,208,20
"Reading","Fall",10,209,20
"Reading","Fall",11,208,20
"Reading","Fall",12,206,20
"Reading","Fall",0,135,25
"Reading","Fall",1,151,25
"Reading","Fall",2,165,25
"Reading","Fall",3,179,25
"Reading","Fall",4,190,25
"Reading","Fall",5,197,25
"Reading","Fall",6,203,25
"Reading","Fall",7,207,25
"Reading","Fall",8,210,25
"Reading","Fall",9,210,25
"Reading","Fall",10,211,25
"Reading","Fall",11,210,25
"Reading","Fall",12,208,25
"Reading","Fall",0,136,30
"Reading","Fall",1,152,30
"Reading","Fall",2,166,30
"Reading","Fall",3,180,30
"Reading","Fall",4,191,30
"Reading","Fall",5,199,30
"Reading","Fall",6,205,30
"Reading","Fall",7,208,30
"Reading","Fall",8,211,30
"Reading","Fall",9,211,30
"Reading","Fall",10,212,30
"Reading","Fall",11,211,30
"Reading","Fall",12,209,30
"Reading","Fall",0,137,35
"Reading","Fall",1,153,35
"Reading","Fall",2,167,35
"Reading","Fall",3,181,35
"Reading","Fall",4,192,35
"Reading","Fall",5,200,35
"Reading","Fall",6,206,35
