"measurementscale","fallwinterspring","grade","RIT","student_percentile"
"Mathematics","Spring",11,203,10
"Mathematics","Spring",12,201,10
"Mathematics","Spring",0,144,15
"Mathematics","Spring",1,160,15
"Mathematics","Spring",2,171,15
"Mathematics","Spring",3,181,15
"Mathematics","Spring",4,191,15
"Mathematics","Spring",5,197,15
"Mathematics","Spring",6,201,15
"Mathematics","Spring",7,204,15
"Mathematics","Spring",8,208,15
"Mathematics","Spring",9,207,15
"Mathematics","Spring",10,208,15
"Mathematics","Spring",11,209,15
"Mathematics","Spring",12,207,15
"Mathematics","Spring",0,147,20
"Mathematics","Spring",1,163,20
"Mathematics","Spring",2,174,20
"Mathematics","Spring",3,185,20
"Mathematics","Spring",4,195,20
"Mathematics","Spring",5,200,20
"Mathematics","Spring",6,205,20
"Mathematics","Spring",7,208,20
"Mathematics","Spring",8,212,20
"Mathematics","Spring",9,211,20
"Mathematics","Spring",10,213,20
"Mathematics","Spring",11,214,20
"Mathematics","Spring",12,212,20
"Mathematics","Spring",0,149,25
"Mathematics","Spring",1,165,25
"Mathematics","Spring",2,177,25
"Mathematics","Spring",3,188,25
"Mathematics","Spring",4,198,25
"Mathematics","Spring",5,204,25
"Mathematics","Spring",6,208,25
"Mathematics","Spring",7,211,25
"Mathematics","Spring",8,215,25
"Mathematics","Spring",9,215,25
"Mathematics","Spring",10,216,25
"Mathematics","Spring",11,217,25
"Mathematics","Spring",12,215,25
"Mathematics","Spring",0,151,30
"Mathematics","Spring",1,167,30
"Mathematics","Spring",2,179,30
"Mathematics","Spring",3,190,30
"Mathematics","Spring",4,201,30
"Mathematics","Spring",5,206,30
"Mathematics","Spring",6,211,30
"Mathematics","Spring",7,214,30
"Mathematics","Spring",8,218,30
"Mathematics","Spring",9,218,30
"Mathematics","Spring",10,220,30
"Mathematics","Spring",11,221,30
"Mathematics","Spring",12,219,30
"Mathematics","Spring",0,153,35
"Mathematics","Spring",1,169,35
"Mathematics","Spring",2,181,35
"Mathematics","Spring",3,193,35
"Mathematics","Spring",4,203,35
"Mathematics","Spring",5,209,35
"Mathematics","Spring",6,213,35
"Mathematics","Spring",7,216,35
"Mathematics","Spring",8,221,35
"Mathematics","Spring",9,221,35
"Mathematics","Spring",10,223,35
"Mathematics","Spring",11,224,35
"Mathematics","Spring",12,222,35
"Mathematics","Spring",0,154,40
"Mathematics","Spring",1,171,40
"Mathematics","Spring",2,183,40
"Mathematics","Spring",3,195,40
"Mathematics","Spring",4,206,40
"Mathematics","Spring",5,211,40
"Mathematics","Spring",6,216,40
"Mathematics","Spring",7,219,40
"Mathematics","Spring",8,224,40
"Mathematics","Spring",9,223,40
"Mathematics","Spring",10,226,40
"Mathematics","Spring",11,227,40
"Mathematics","Spring",12,225,40
"Mathematics","Spring",0,156,45
"Mathematics","Spring",1,173,45
"Mathematics","Spring",2,185,45
"Mathematics","Spring",3,197,45
"Mathematics","Spring",4,208,45
"Mathematics","Spring",5,214,45
"Mathematics","Spring",6,218,45
"Mathematics","Spring",7,221,45
"Mathematics","Spring",8,226,45
"Mathematics","Spring",9,226,45
"Mathematics","Spring",10,229,45
"Mathematics","Spring",11,230,45
"Mathematics","Spring",12,228,45
"Mathematics","Spring",0,158,50
"Mathematics","Spring",1,175,50
"Mathematics","Spring",2,187,50
"Mathematics","Spring",3,199,50
"Mathematics","Spring",4,210,50
"Mathematics","Spring",5,216,50
"Mathematics","Spring",6,220,50
"Mathematics","Spring",7,224,50
"Mathematics","Spring",8,229,50
"Mathematics","Spring",9,229,50
"Mathematics","Spring",10,231,50
"Mathematics","Spring",11,233,50
