"NormType","SubjectBid","Grade","CoeffX","Index","x1","x2","x3","x4"
2020,3,10,3,"3_10_3",-0.0129463,0.0164737,0.0025204,0.0002616
2020,3,10,4,"3_10_4",0.0002994,-0.0247261,0.0002616,0.0032652
2020,3,11,1,"3_11_1",42.5513635,0.0542255,-0.0370002,0.0003787
2020,3,11,2,"3_11_2",0.0542255,1.6160106,0.0107083,-0.0260946
2020,3,11,3,"3_11_3",-0.0370002,0.0107083,0.0036898,0.0011653
2020,3,11,4,"3_11_4",0.0003787,-0.0260946,0.0011653,0.0031375
2020,4,2,1,"4_2_1",35.1093875,-4.0947507,-0.0835254,0.0493804
2020,4,2,2,"4_2_2",-4.0947507,4.4347148,0.072019,-0.1100244
2020,4,2,3,"4_2_3",-0.0835254,0.072019,0.0056495,-0.0027421
2020,4,2,4,"4_2_4",0.0493804,-0.1100244,-0.0027421,0.0069328
2020,4,3,1,"4_3_1",35.2288411,-3.0994058,-0.135419,0.1754778
2020,4,3,2,"4_3_2",-3.0994058,3.9188136,0.0922437,-0.1163077
2020,4,3,3,"4_3_3",-0.135419,0.0922437,0.0078771,-0.006117
2020,4,3,4,"4_3_4",0.1754778,-0.1163077,-0.006117,0.0108643
2020,4,4,1,"4_4_1",31.7812274,-0.4135478,-0.0434427,0.08846
2020,4,4,2,"4_4_2",-0.4135478,2.8310583,0.0536952,-0.0637602
2020,4,4,3,"4_4_3",-0.0434427,0.0536952,0.0053303,-0.0027943
2020,4,4,4,"4_4_4",0.08846,-0.0637602,-0.0027943,0.0079065
2020,4,5,1,"4_5_1",32.8879366,0.8206521,-0.020046,0.0136668
2020,4,5,2,"4_5_2",0.8206521,2.6478667,0.0024773,-0.0775604
2020,4,5,3,"4_5_3",-0.020046,0.0024773,0.0057706,0.0018902
2020,4,5,4,"4_5_4",0.0136668,-0.0775604,0.0018902,0.0102013
2020,4,6,1,"4_6_1",37.1997152,0.7845894,-0.0491034,-0.1264386
2020,4,6,2,"4_6_2",0.7845894,4.2115453,0.0107592,-0.0939885
2020,4,6,3,"4_6_3",-0.0491034,0.0107592,0.0057657,0.000786
2020,4,6,4,"4_6_4",-0.1264386,-0.0939885,0.000786,0.0081156
2020,4,7,1,"4_7_1",37.9561762,0.1764285,-0.041218,0.0435636
2020,4,7,2,"4_7_2",0.1764285,2.5141237,0.0313657,-0.0589404
2020,4,7,3,"4_7_3",-0.041218,0.0313657,0.0058262,-9.8e-05
2020,4,7,4,"4_7_4",0.0435636,-0.0589404,-9.8e-05,0.0071175
2020,4,8,1,"4_8_1",40.871917,2.9934626,-0.063743,-0.087464
2020,4,8,2,"4_8_2",2.9934626,2.9228451,-0.040161,-0.0877913
2020,4,8,3,"4_8_3",-0.063743,-0.040161,0.0059136,0.004019
2020,4,8,4,"4_8_4",-0.087464,-0.0877913,0.004019,0.0087699
2020,4,9,1,"4_9_1",46.2303479,2.0259843,-0.0105973,-0.0494293
2020,4,9,2,"4_9_2",2.0259843,3.4332198,0.0430889,-0.0782503
2020,4,9,3,"4_9_3",-0.0105973,0.0430889,0.0067782,-0.0025299
2020,4,9,4,"4_9_4",-0.0494293,-0.0782503,-0.0025299,0.0083048
2020,4,10,1,"4_10_1",48.1252413,3.6060884,0.0641385,-0.0098832
2020,4,10,2,"4_10_2",3.6060884,2.1187344,-0.0370506,-0.0736266
2020,4,10,3,"4_10_3",0.0641385,-0.0370506,0.0049213,0.0035646
2020,4,10,4,"4_10_4",-0.0098832,-0.0736266,0.0035646,0.008411
